productId,vendorName,productName,notes,regex_field,regex_pattern,default_sourcetype_search,extended_fields,term_fields,eventtypeId
AWS__CloudTrail,AWS,CloudTrail,,sourcetype,^aws:cloudtrail$,sourcetype=aws:cloudtrail,,,VendorSpecific-aws-cloudtrail
AWS__S3,AWS,S3,,sourcetype,^aws.*s3.*access$,sourcetype=aws*s3*access,,,DS014WebServer-ET01Access
AWS__VPC_Flow_Logs,AWS,VPC Flow Logs,,sourcetype,^aws.*vpcflow$,sourcetype=aws*vpcflow,,,DS010NetworkCommunication-ET01Traffic
AWS__Billing_Logs,AWS,Billing Logs,,sourcetype,^aws.*billing.*$,sourcetype=aws*billing*,,,DS034ApplicationLogs
AWS__CloudWatch,AWS,CloudWatch,,sourcetype,^aws:cloudwatch$,sourcetype=aws:cloudwatch,,,DS022HostPerformance-ET01General
AWS__Config,AWS,Config,,sourcetype,^aws:config$,sourcetype=aws:config,,,DS015ConfigurationManagement-ET01General
Blue_Coat__ProxyAV,Blue Coat,ProxyAV,,sourcetype,^(bluecoat:proxysg:access.*|bcoat_proxy)$,sourcetype=bluecoat:proxysg:access* OR sourcetype=bcoat_proxy,,,DS005WebProxyRequest-ET01Requested
Box__Audit_Logs,Box,Audit Logs,,sourcetype,^(box:.*|box)$,sourcetype=box:* OR sourcetype=box,,,VendorSpecific-Box
Bro__Conn,Bro,Conn,,sourcetype,^bro_conn$,sourcetype=bro_conn,,,DS010NetworkCommunication-ET01Traffic
Bro__DHCP,Bro,DHCP,,sourcetype,^bro_dhcp$,sourcetype=bro_dhcp,,,DS025IPAddressAssignment-ET01General
Bro__DNS,Bro,DNS,,sourcetype,^bro_dns$,sourcetype=bro_dns,,,DS002DNS-ET01QueryResponse|DS002DNS-ET01QueryRequest|DS002DNS-ET01Query
Bro__FTP,Bro,FTP,,sourcetype,^bro_ftp$,sourcetype=bro_ftp,,,DS010NetworkCommunication-ET01TrafficAppAware
Bro__HTTP,Bro,HTTP,,sourcetype,^bro_http$,sourcetype=bro_http,,,DS014WebServer-ET01Access
Bro__Notice,Bro,Notice,,sourcetype,^bro_notice$,sourcetype=bro_notice,,,DS012NetworkIntrusionDetection-ET01SigDetection
Bro__SMTP,Bro,SMTP,,sourcetype,^bro_smtp$,sourcetype=bro_smtp,,,DS001MAIL-ET02Receive|DS001MAIL-ET03Send
Bro__SSH,Bro,SSH,,sourcetype,^bro_ssh$,sourcetype=bro_ssh,,,DS010NetworkCommunication-ET01TrafficAppAware
Bro__SSL,Bro,SSL,,sourcetype,^bro_ssl$,sourcetype=bro_ssl,,,DS010NetworkCommunication-ET01TrafficAppAware
Check_Point__Firewall,Check Point,Firewall,,sourcetype,^opsec:firewall $,sourcetype=opsec:firewall ,,,DS010NetworkCommunication-ET01Traffic
Check_Point__URL_Filtering,Check Point,URL Filtering,,sourcetype,^opsec$,sourcetype=opsec,,TERM(URL) TERM(Filtering),DS014WebServer-ET01Access
Check_Point__DLP,Check Point,DLP,,sourcetype,^opsec:dlp$,sourcetype=opsec:dlp,,,DS016DataLossPrevention-ET01Violation
Check_Point__Application_Control,Check Point,Application Control,,sourcetype,^opsec:app_control$,sourcetype=opsec:app_control,,,DS010NetworkCommunication-ET01TrafficAppAware
Check_Point__Network_Anti-Virus,Check Point,Network Anti-Virus,,sourcetype,^(opsec:anti_malware|opsec:anti_virus)$,sourcetype=opsec:anti_malware OR sourcetype=opsec:anti_virus,,,DS004EndPointAntiMalware-ET01SigDetected
Check_Point__Anti-Bot,Check Point,Anti-Bot,,sourcetype,^opsec:anti_bot$,sourcetype=opsec:anti_bot,,,DS012NetworkIntrusionDetection-ET01SigDetection
Check_Point__Threat_Emulation,Check Point,Threat Emulation,,sourcetype,^opsec:threat_emulation$,sourcetype=opsec:threat_emulation,,,DS011MalwareDetonation-ET01Detection
Check_Point__IPS,Check Point,IPS,,sourcetype,^opsec:smartdefense$,sourcetype=opsec:smartdefense,,,DS012NetworkIntrusionDetection-ET01SigDetection
Check_Point__VPN,Check Point,VPN,,sourcetype,^opsec:vpn$,sourcetype=opsec:vpn,,,DS025IPAddressAssignment-ET01General|DS010NetworkCommunication-ET01Traffic|DS003Authentication-ET01Success|DS003Authentication-ET02Failure
