Matrix,Tactic,"Tactic_Total",Technique,"Technique_Total",Active,Available,"Needs data","Data Source"
"Enterprise ATT&CK",Collection,23,"Data Staged",3,0,0,3,"Endpoint Detection and Response::3"
"Enterprise ATT&CK",Collection,23,"Data from Information Repositories",13,0,1,12,"Audit Trail::6,Authentication::1,Email::1,Network Communication::1,Web Server::4"
"Enterprise ATT&CK",Collection,23,"Data from Network Shared Drive",3,0,0,3,"Audit Trail::1,Email::1,Network Communication::1"
"Enterprise ATT&CK",Collection,23,"Data from Removable Media",1,0,0,1,"Endpoint Detection and Response::1"
"Enterprise ATT&CK",Collection,23,"Email Collection",2,0,0,2,"Endpoint Detection and Response::1,Network Communication::1"
"Enterprise ATT&CK",Collection,23,"Input Capture",1,0,0,1,"Endpoint Detection and Response::1"
"Enterprise ATT&CK","Command and Control",69,"Commonly Used Port",15,0,0,15,"DNS::8,Endpoint Detection and Response::1,Network Communication::4,Web Proxy::2"
"Enterprise ATT&CK","Command and Control",69,"Custom Command and Control Protocol",11,0,0,11,"Malware Analysis::1,Network Communication::7,Web Proxy::3"
"Enterprise ATT&CK","Command and Control",69,"Custom Cryptographic Protocol",1,0,0,1,"Network Communication::1"
"Enterprise ATT&CK","Command and Control",69,"Multi-Stage Channels",1,0,0,1,"Network Communication::1"
"Enterprise ATT&CK","Command and Control",69,"Multi-hop Proxy",1,0,0,1,"Network Communication::1"
"Enterprise ATT&CK","Command and Control",69,"Standard Application Layer Protocol",17,0,0,17,"DNS::2,Malware Analysis::1,Network Communication::6,Web Proxy::8"
"Enterprise ATT&CK","Command and Control",69,"Standard Cryptographic Protocol",3,0,0,3,"Network Communication::3"
"Enterprise ATT&CK","Command and Control",69,"Standard Non-Application Layer Protocol",11,0,0,11,"Network Communication::8,Web Proxy::3"
"Enterprise ATT&CK","Command and Control",69,"Uncommonly Used Port",4,0,0,4,"Endpoint Detection and Response::1,Network Communication::3"
"Enterprise ATT&CK","Command and Control",69,"Web Service",8,0,0,5,"Audit Trail::2,Web Proxy::6"
"Enterprise ATT&CK","Credential Access",27,"Account Manipulation",7,0,2,3,"Authentication::2,Endpoint Detection and Response::4,Windows Security::1"
"Enterprise ATT&CK","Credential Access",27,"Brute Force",16,1,11,4,"Authentication::12,Web Proxy::1,Web Server::1,Windows Security::2"
"Enterprise ATT&CK","Credential Access",27,"Credential Dumping",5,0,0,5,"Endpoint Detection and Response::3,Windows Security::2"
"Enterprise ATT&CK","Credential Access",27,"Network Sniffing",1,0,0,1,"Network Communication::1"
"Enterprise ATT&CK","Defense Evasion",48,"Clear Command History",1,0,0,1,"Windows Security::1"
"Enterprise ATT&CK","Defense Evasion",48,"Disabling Security Tools",15,0,0,15,"Anti-Virus or Anti-Malware::1,Any Splunk Logs::2,Configuration Management::2,Endpoint Detection and Response::9,Patch Management::1"
"Enterprise ATT&CK","Defense Evasion",48,"File Deletion",1,0,0,1,"Windows Security::1"
"Enterprise ATT&CK","Defense Evasion",48,"Hidden Files and Directories",2,0,0,1,"Endpoint Detection and Response::2"
"Enterprise ATT&CK","Defense Evasion",48,"Indicator Blocking",2,0,0,2,"Endpoint Detection and Response::2"
"Enterprise ATT&CK","Defense Evasion",48,"Indicator Removal on Host",8,0,0,8,"Endpoint Detection and Response::4,User Activity Audit::1,Windows Security::3"
