_raw,index,host,source,sourcetype
"{""timestamp"":""06-04-2018 12:00:01"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016001"",""family"":{""name"":""Settings"",""id"":""1"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""1"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:02"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016002"",""family"":{""name"":""Settings"",""id"":""2"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""2"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:03"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016003"",""family"":{""name"":""Settings"",""id"":""3"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""3"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:04"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016004"",""family"":{""name"":""Settings"",""id"":""4"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""4"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:05"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016005"",""family"":{""name"":""Settings"",""id"":""5"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""5"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:06"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016006"",""family"":{""name"":""Settings"",""id"":""6"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""6"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:07"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016007"",""family"":{""name"":""Settings"",""id"":""7"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""7"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:08"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016008"",""family"":{""name"":""Settings"",""id"":""8"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""8"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:09"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016009"",""family"":{""name"":""Settings"",""id"":""9"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""9"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:10"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016010"",""family"":{""name"":""Settings"",""id"":""10"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""10"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:11"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016011"",""family"":{""name"":""Settings"",""id"":""11"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""11"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:12"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016012"",""family"":{""name"":""Settings"",""id"":""12"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""12"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:13"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016013"",""family"":{""name"":""Settings"",""id"":""13"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""13"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:14"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016014"",""family"":{""name"":""Settings"",""id"":""14"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""14"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:15"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016015"",""family"":{""name"":""Settings"",""id"":""15"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""15"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:16"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016016"",""family"":{""name"":""Settings"",""id"":""16"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""16"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
"{""timestamp"":""06-04-2018 12:00:17"",""sourceFile"":""database_settings.nasl"",""checkType"":""settings"",""md5"":""7985fa3a9d8902827949e565b5701a8d"",""solution"":""n/a"",""srcPort"":""null"",""xrefs"":"""",""temporalScore"":""null"",""baseScore"":""null"",""copyright"":""This script is Copyright (C) 2008-2018 Tenable Network Security,Inc."",""vulnPubDate"":""-1"",""stigSeverity"":""null"",""description"":""This plugin just sets global variables (SID,SERVICE_NAME,etc.),and does not perform any security checks."",""synopsis"":""Database settings."",""version"":""1.26"",""pluginModDate"":""1523016017"",""family"":{""name"":""Settings"",""id"":""17"",""type"":""active""},""requiredPorts"":"""",""exploitAvailable"":""false"",""requiredUDPPorts"":"""",""cvssVectorBF"":""0"",""cpe"":"""",""exploitFrameworks"":"""",""SC_address"":""tenablesc.eastus.cloudapp.azure.com"",""modifiedTime"":""1523324473"",""name"":""Database settings"",""protocol"":"""",""dstPort"":""null"",""seeAlso"":"""",""patchModDate"":""-1"",""id"":""17"",""type"":""active"",""dependencies"":"""",""cvssVector"":"""",""exploitEase"":"""",""patchPubDate"":""-1"",""pluginPubDate"":""1233662400"",""riskFactor"":""None""}",main,localhost,tenable:eventgen,tenable:sc:plugin
