Year,Title,Speakers,Description,Products,Solutions,Industries,Other_Topics,Session_Focus,Type,Skill_Level,Track,Role,RecordingLink,SlideLink
2013,Mobile Application Analytics with Splunk,"Leena Joshi, Sr. Director Marketing, Splunk; Jack Coates, Senior Product Manager, Splunk","Want to get visibliity into your enterprise or customer-facing mobile applications? Join this session to learn how Splunk can help you with mobile application analytics. The proliferation of mobile applications, both internal and external, has left IT with additional challenges around managing, monitoring and ensuring avalability and service levels. Join this session to learn how Splunk can help you gain visibility and intelligence into mobile applications. We will review a few customer examples on how to do this with logging APIs and Splunk software.",Splunk Enterprise,Infrastructure Operations,,,,Breakout Session,Beginner,Application Management,,conf.splunk.com/session/2013/ITopsAppMgmt_Splunk_LeenaJoshi-Panos_MobileApplicationAnalyticsWithSplunk1.m4v,conf.splunk.com/session/2013/ITopsAppMgmt_Splunk_LeenaJoshi-Panos_MobileApplicationAnalyticsWithSplunk1.pdf
2013,Customize and Extend the Power of Splunk with the Splunk Developer Platform,"Paul Sanford, Managing Director, Developer Platform, Splunk",Learn about the current status of Splunk's Developer Platform and where it is headed. This session will walk through all developer offerings and preview what's coming next.,Splunk Enterprise,Developing,,,,Breakout Session,Beginner,Developer,,conf.splunk.com/session/2013/DG62901_Developing_Splunk_PaulSanford_CustomizeandExtendThePowerofSplunkWiththeSplunkDeveloperPlatform.m4v,conf.splunk.com/session/2013/Developing_Splunk_PaulSanford_CustomizeandExtendThePowerofSplunkWiththeSplunkDeveloperPlatform.pdf
2013,Splunk Goes to Washington: Big Data in the Federal Government,"Christy Wilson, VP of Engineering and Product Management, Splunk","The White House Office of Science and Technology Policy (OSTP) and the National Science Foundation Big Data Senior Steering Group (BDSSG) at National Science Foundation are working with leading big data companies including Splunk. In this panel, see examples of how Splunk is contributing to the U.S. Federal Government's big data initatives. ",Splunk Enterprise,Big Data,,,,Breakout Session,Intermediate,Big Data,,conf.splunk.com/session/2013/BD71001_BigData_Splunk_ChristyWilson_SplunkGoestoWashingtonBigDataintheFederalGovernment.m4v,conf.splunk.com/session/2013/BigData_Splunk_ChristyWilson_SplunkGoestoWashingtonBigDataintheFederalGovernment.pdf
2013,Real-time Insights into Your Virtual World,"Priya Balakrishnan, Senior Product Marketing Manager, Splunk; Jason Conger, Sr. Software Development Engineer, Splunk","The modern datacenter is a mish-mash of loosely intertwined systems and technologies that make root-cause analysis and troubleshooting challenging. Join us in this session for a demonstration on how Splunk provides granular insights to monitor, trend, and analyze across your physical, cloud and virtual infrastructures (such as Citrix VDI deployments, Cisco UCS infrastructrures, NetApp Storage devices, operating systems, etc.) and connect this to real user experience . Learn about the Splunk solutions for market-leading server and desktop virtualization technologies from VMware, Citrix and Microsoft and how you can correlate data across these various technology tiers to get that much desired 360 degree visibility. ",Splunk Enterprise,Infrastructure Operations,,,,Breakout Session,Beginner,IT Operations,,conf.splunk.com/session/2013/IM68501_ITOpsAppMgmt_Splunk_BrandonShell_ReatimeInsightsintoYourVirtualWorld.m4v,conf.splunk.com/session/2013/ITOpsAppMgmt_Splunk_BrandonShell_ReatimeInsightsintoYourVirtualWorld.pdf
2013,Gain Insight into Your Cloud Usage with the Splunk App for AWS,"Nilesh Khetia, Practice Manager, Cloud, Splunk",Learn how the Splunk App for AWS allows you to collect reserved/un-reserved instances data and billing data from which in-depth analysis of usage patterns and spending becomes available for Amazon EC2 environment. This analysis not only helps to optimize usage of Amazon EC2 environment but also gives baseline calculations and month-over-month comparison of spending.,Splunk Enterprise,Cloud,,,,Breakout Session,Beginner,Cloud,,conf.splunk.com/session/2013/CD64701_Cloud_Splunk_NileshKhetia_GainInsightIntoYourCloudUsageWithTheSplunkAppForAWS.m4v,conf.splunk.com/session/2013/Cloud_Splunk_NileshKhetia_GainInsightIntoYourCloudUsageWithTheSplunkAppForAWS.pdf
2013,Splunk in the Hyperscale Private Cloud,"Mark Williams, SVP, Technology Solutions, Redapt","Mark Williams of Redapt talks about his experiences building and operating a 50,000+ node private cloud with Splunk. Attendees will understand Splunk's value in hyperscale cloud environments via presentation of the use case of a large online gaming company. ",Splunk Enterprise,,,,,Breakout Session,Good for all skill levels,Cloud,,conf.splunk.com/session/2013/Cloud_Redapt_MarkWilliams_SplunkInTheHyperscalePrivateCloud.m4v,conf.splunk.com/session/2013/Cloud_Redapt_MarkWilliams_SplunkInTheHyperscalePrivateCloud.pdf
2013,Splunk for Operational Intelligence,"Clint Sharp, Director, Product Management, Splunk","What does Operational Intelligence mean? Splunk uses the term frequently, but how does that apply to your business? We will walk through the best examples of how Splunk helps deliver real time Operational Intelligence to the business.",Splunk Enterprise,All,Telecommunications,,,Breakout Session,Beginner,Using Splunk,,conf.splunk.com/session/2013/US70801_UsingSplunk_Splunk_ClintSharp_SplunkForOperationalIntelligence.m4v,conf.splunk.com/session/2013/BigData_Splunk_ClintSharp_SplunkForOperationalIntelligence.pdf
2013,Go Splunk Yourself,"Ed Hunsinger, Sr. Software Developer, Splunk",Why stop at machines when you can use Splunk on yourself and your environment? Ed has embarked on a long journey of self-tracking and feeding data about his body and life into Splunk. Come hear about some of the non-standard ways he has used Splunk software in his every day life as well as his ideas for other quantified self uses for Splunk software.,Splunk Enterprise,Beyond IT,,,,Breakout Session,Good for all skill levels,Beyond IT,,conf.splunk.com/session/2013/BI64901_BeyondIT_Splunk_EdHunsinger_GoSplunkYourself.m4v,conf.splunk.com/session/2013/BeyondIT_Splunk_EdHunsinger_GoSplunkYourself.pdf
2013,Search Language - Intermediate,"Lincoln Bowser, Instructor, Splunk","Got a good handle on the common search commands but looking to expand your bag of tricks? Explore some of the easy to learn, powerful search commands that can help you get more big bang for the buck. Then, explore a handful of real world searches that show you how to combine your searching skills beyond the basics. Not quite super Ninja skills yet, but a good set of tools to add to your repertoire. ",Splunk Enterprise,All,Telecommunications,,,Breakout Session,Intermediate,Using Splunk,,conf.splunk.com/session/2013/US69001_Using_Splunk_LincolnBowser_SearchLanguageIntermediate.m4v,conf.splunk.com/session/2013/Using_Splunk_LincolnBowser_SearchLanguageIntermediate.pdf
2013,Delivering Operational Intelligence for State and Local Government,"Greg Johnson, Sr. System Administrator, Clackamas County","Clackamas County is managing their entire datacenter with Splunk software! Learn how they coordinated with each technical support team and implemented a project that meets individual needs while delivering comprehensive dashboard views to improve visibility and MTTR. Clackamas County was able to speed thier implementation and deliver the views they needed with apps from Splunkbase, including Splunk App for VMware, Splunk App for Citrix XenApp and Splunk App for Microsoft Exchange.",Splunk Enterprise,Big Data,"Manufacturing, Travel & Transportation",,,Breakout Session,Beginner,IT Operations,,conf.splunk.com/session/2013/BI63701_ITOps_AppsMgmt_GregJohnson_ClackamasCounty_DeliveringOperationalIntelligenceForStateAndLocalGov.m4v,conf.splunk.com/session/2013/ITOps_AppsMgmt_GregJohnson_ClackamasCounty_DeliveringOperationalIntelligenceForStateAndLocalGov.pdf
