sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","savedsearch_name","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt","__mv_savedsearch_name"
"rt_md_1605675180.3","| metadata type=sourcetypes | search totalCount > 0","prod-openpathus","1605675180.212021",1,"UI:Search",0,1605675180,0,0,failed,"52.036",,,,,,,,,,,,,,,,,,,,,,
"rt_md_1605678650.6","| metadata type=sourcetypes | search totalCount > 0","prod-openpathus","1605678650.868234",1,"UI:Search",0,1605678650,0,0,failed,"755.7570000000001",,,,,,,,,,,,,,,,,,,,,,
"rt_md_1605721686.23","| metadata type=sourcetypes | search totalCount > 0","prod-openpathus","1605721686.392055",1,"UI:Search",0,1605721686,0,0,canceled,"23.032",,,,,,,,,,,,,,,,,,,,,,
"1605721709.33","| eventcount summarize=f index=*","prod-openpathus","1605721709.483164",0,"UI:Search",0,1605721709,3,0,completed,"0.018000000000000002","1605632400.000000000","1605721709.000000000","1605632400.000000000","1605721709.000000000",,,,,,,,,,,,,,,,,,
"rt_md_1605771803.134","| metadata type=sourcetypes | search totalCount > 0","prod-openpathus","1605771803.216884",1,"UI:Search",0,1605771803,0,0,canceled,"64.039",,,,,,,,,,,,,,,,,,,,,,
"1605771866.145","search index=""_internal"" |chart count by component OVER day","prod-openpathus","1605771866.721538",0,"UI:Search",0,1605771866,0,0,failed,"0.008","1605682800.000000000","1605771866.000000000","1605682800.000000000","1605771866.000000000",,,,,,,,,,,,,,,,,,
"1605771882.146","search index=""_internal"" |chart count by component","prod-openpathus","1605771882.087732",0,"UI:Search",475809,1605771882,92,475809,completed,"1.711","1605682800.000000000","1605771882.000000000","1605682800.000000000","1605771882.000000000",,,,,,,,,,,,,,,,,,
"1605771886.147","search index=""_internal"" |chart count by component","prod-openpathus","1605771886.701453",0,"UI:Search",475833,1605771886,92,475833,completed,"5.546","1605682800.000000000","1605771886.000000000","1605682800.000000000","1605771886.000000000",,,,,,,,,,,,,,,,,,
"1605771903.148","search index=""_internal"" |chart count by component over date_minute","prod-openpathus","1605771903.268630",0,"UI:Search",0,1605771903,0,0,failed,"0.011","1605682800.000000000","1605771903.000000000","1605682800.000000000","1605771903.000000000",,,,,,,,,,,,,,,,,,
"1605771912.149","search index=""_internal"" |chart count over date_minute","prod-openpathus","1605771912.486247",0,"UI:Search",476083,1605771912,60,476083,completed,"5.612","1605682800.000000000","1605771912.000000000","1605682800.000000000","1605771912.000000000",,,,,,,,,,,,,,,,,,
"1605771939.150","search index=""_internal"" |chart values(component) as component over date_minute","prod-openpathus","1605771939.493825",0,"UI:Search",476321,1605771939,60,476321,completed,"5.533","1605682800.000000000","1605771939.000000000","1605682800.000000000","1605771939.000000000",,,,,,,,,,,,,,,,,,
"1605771982.151","search index=""_internal"" |chart values(component) by _time","prod-openpathus","1605771982.500278",0,"UI:Search",455754,1605771982,0,455754,failed,"35.919000000000004","1605682800.000000000","1605771982.000000000","1605682800.000000000","1605771982.000000000",,,,,,,,,,,,,,,,,,
"1605771987.152","search index=""_internal"" |chart values(component) over _time","prod-openpathus","1605771987.812169",0,"UI:Search",476633,1605771987,19971,476633,completed,"5.706","1605682800.000000000","1605771987.000000000","1605682800.000000000","1605771987.000000000",,,,,,,,,,,,,,,,,,
"1605771996.153","search index=""_internal"" |chart values(_time) over component","prod-openpathus","1605771996.086502",0,"UI:Search",476817,1605771996,92,476817,completed,"5.2540000000000004","1605682800.000000000","1605771996.000000000","1605682800.000000000","1605771996.000000000",,,,,,,,,,,,,,,,,,
"1605772027.154","search index=""_internal"" |chart count(_time) over component","prod-openpathus","1605772027.420008",0,"UI:Search",477048,1605772027,92,477048,completed,"5.361","1605682800.000000000","1605772027.000000000","1605682800.000000000","1605772027.000000000",,,,,,,,,,,,,,,,,,
"1605772035.155","search index=""_internal"" |chart count(_time) over date_time","prod-openpathus","1605772035.837993",0,"UI:Search",477080,1605772035,0,477080,completed,"5.3790000000000004","1605682800.000000000","1605772035.000000000","1605682800.000000000","1605772035.000000000",,,,,,,,,,,,,,,,,,
"1605772042.156","search index=""_internal"" |chart count(_time) over date_hour","prod-openpathus","1605772042.059564",0,"UI:Search",477113,1605772042,24,477113,completed,"5.588","1605682800.000000000","1605772042.000000000","1605682800.000000000","1605772042.000000000",,,,,,,,,,,,,,,,,,
"1605772057.157","search index=""_internal"" |chart count(_time) over date_hour by date_minute","prod-openpathus","1605772057.634036",0,"UI:Search",477343,1605772057,24,477343,completed,"5.525","1605682800.000000000","1605772057.000000000","1605682800.000000000","1605772057.000000000",,,,,,,,,,,,,,,,,,
"admin__admin__search__search1_1605772110.158","search index=""_internal"" |chart count(_time) over date_hour by date_minute","prod-openpathus","1605772110.858903",0,"UI:Dashboard:testing_datamodel",477580,1605772110,24,477580,completed,"1.112","1605682800.000000000","1605772110.000000000","1605682800.000000000","1605772110.000000000",search1,,,,,,,,,,,,,,,,,
"1605772410.159","search index=""_internal"" |chart count(_time) over date_hour by date_minute |transpose","prod-openpathus","1605772410.262175",0,"UI:Search",479443,1605772410,12,479443,completed,"1.1340000000000001","1605682800.000000000","1605772410.000000000","1605682800.000000000","1605772410.000000000",,,,,,,,,,,,,,,,,,
"1605772425.160","search index=""_internal"" |chart count(_time) over date_hour by date_minute |transpose |transpose","prod-openpathus","1605772425.953058",0,"UI:Search",479629,1605772425,6,479629,completed,"1.094","1605682800.000000000","1605772425.000000000","1605682800.000000000","1605772425.000000000",,,,,,,,,,,,,,,,,,
"1605772444.161","search index=""_internal"" |chart count(_time) over date_hour by date_minute |transpose |transpose |transpose","prod-openpathus","1605772444.870298",0,"UI:Search",479673,1605772444,6,479673,completed,"0.857","1605682800.000000000","1605772444.000000000","1605682800.000000000","1605772444.000000000",,,,,,,,,,,,,,,,,,
"1605772457.162","search index=""_internal"" |chart count(_time) over date_hour by date_minute |transpose |transpose |transpose |transpose |transpose |transpose","prod-openpathus","1605772457.389909",0,"UI:Search",479759,1605772457,6,479759,completed,"0.881","1605682800.000000000","1605772457.000000000","1605682800.000000000","1605772457.000000000",,,,,,,,,,,,,,,,,,
"1605772461.163","search index=""_internal"" |chart count(_time) over date_hour by date_minute |transpose |transpose |transpose |transpose |transpose |transpose|transpose |transpose |transpose","prod-openpathus","1605772461.395033",0,"UI:Search",479873,1605772461,6,479873,completed,"0.882","1605682800.000000000","1605772461.000000000","1605682800.000000000","1605772461.000000000",,,,,,,,,,,,,,,,,,
"1605772466.164","search index=""_internal"" |chart count(_time) over date_hour by date_minute |transpose |transpose |transpose |transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose","prod-openpathus","1605772466.080215",0,"UI:Search",479904,1605772466,6,479904,completed,"0.893","1605682800.000000000","1605772466.000000000","1605682800.000000000","1605772466.000000000",,,,,,,,,,,,,,,,,,
"1605772470.165","search index=""_internal"" |chart count(_time) over date_hour by date_minute |transpose |transpose |transpose |transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose","prod-openpathus","1605772470.788639",0,"UI:Search",479920,1605772470,6,479920,completed,"0.88","1605682800.000000000","1605772470.000000000","1605682800.000000000","1605772470.000000000",,,,,,,,,,,,,,,,,,
"1605772474.166","search index=""_internal"" |chart count(_time) over date_hour by date_minute |transpose |transpose |transpose |transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose|transpose |transpose |transpose","prod-openpathus","1605772474.749688",0,"UI:Search",479942,1605772474,6,479942,completed,"0.877","1605682800.000000000","1605772474.000000000","1605682800.000000000","1605772474.000000000",,,,,,,,,,,,,,,,,,
"1605772584.167","search index=""_internal"" |chart count(_time) over date_hour by date_minute","prod-openpathus","1605772584.584659",0,"UI:Search",480659,1605772584,24,480659,completed,"1.097","1605682800.000000000","1605772584.000000000","1605682800.000000000","1605772584.000000000",,,,,,,,,,,,,,,,,,
"1605772635.168","search index=""_internal"" |chart count(_time) over date_hour by date_minute | foreach * [eval bruh = if(<<FIELD>>==""OTHER"",""OK"",""NO"")]","prod-openpathus","1605772635.633447",0,"UI:Search",480869,1605772635,24,480869,completed,"0.879","1605682800.000000000","1605772635.000000000","1605682800.000000000","1605772635.000000000",,,,,,,,,,,,,,,,,,
