sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1605496621.33","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","prod-openpathus","1605496621.408459",0,0,1605496621,0,0,canceled,"0.28200000000000003",,,,,,,,,,,
"1605500221.38","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","prod-openpathus","1605500221.010545",0,0,1605500221,0,0,canceled,"0.278",,,,,,,,,,,
"1605503820.43","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","prod-openpathus","1605503820.703861",0,0,1605503820,0,0,canceled,"0.275",,,,,,,,,,,
"1605507420.48","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","prod-openpathus","1605507420.448894",0,0,1605507420,0,0,canceled,"0.273",,,,,,,,,,,
"1605511020.53","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","prod-openpathus","1605511020.936154",0,0,1605511020,0,0,canceled,"0.275",,,,,,,,,,,
"1605514620.58","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","prod-openpathus","1605514620.725913",0,0,1605514620,0,0,canceled,"0.274",,,,,,,,,,,
"1605518220.63","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","prod-openpathus","1605518220.494213",0,0,1605518220,0,0,canceled,"0.276",,,,,,,,,,,
"1605521821.68","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","prod-openpathus","1605521821.230938",0,0,1605521821,0,0,canceled,"0.273",,,,,,,,,,,
"1605525420.73","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","prod-openpathus","1605525420.957330",0,0,1605525420,0,0,canceled,"0.277",,,,,,,,,,,
"1605529020.78","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","prod-openpathus","1605529020.699350",0,0,1605529020,0,0,canceled,"0.28200000000000003",,,,,,,,,,,
"1605532620.83","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","prod-openpathus","1605532620.433157",0,0,1605532620,0,0,canceled,"0.28200000000000003",,,,,,,,,,,
"1605536221.88","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","prod-openpathus","1605536221.162541",0,0,1605536221,0,0,canceled,"0.28500000000000003",,,,,,,,,,,
